graph_id,node_index,x,y,loss
sky130_fd_sc_hd__dfxbp_1,9,5.124196,1.1813208,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,10,5.4165764,1.1543424,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,11,2.0873518,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,12,2.598162,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,13,2.6489952,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,14,2.8424916,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,15,3.8950999,1.364443,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,16,3.078953,1.3185264,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,17,2.837422,1.2360858,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,18,2.040002,1.2683935,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,19,1.6520097,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,20,0.018546622,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,21,0.0,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,22,1.6236824,1.3497493,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,23,2.935711,1.2935741,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,24,3.1868422,1.1754495,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,25,2.5259464,1.0984806,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,26,0.60999453,1.2536844,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,27,1.1541766,1.2609196,1.789968490600586
sky130_fd_sc_hd__dlclkp_1,0,2.0495572,0.0,1.9755340814590454
sky130_fd_sc_hd__dlclkp_1,1,1.5455935,0.0,1.9755340814590454
sky130_fd_sc_hd__dlclkp_1,2,2.7658699,0.29815215,1.9755340814590454
sky130_fd_sc_hd__dlclkp_1,3,2.2330196,0.0,1.9755340814590454
